name,ingredients,method,glass_type,ice,garnish,seasonal_associations,strength,flavor_profile
,,Pineapple juice,1.00,,,,,,,
,,Lime Juice,0.5,,,,,,,
,,Coco Lopez,0.5,,,,,,,
,,,,,,,,,,
68,Rum & Mushroom,White rum,1.50,Build,Collins,Cubed,Lime peel,Summer,Medium,Dry Sweet
,,Veda,0.5,,,,,Spring,,
,,Sugar syrup 1:1,0.5,,,,,Autumn,,
,,Lime juice,0.33,,,,,,,
,,Angostura bitters,1dash,,,,,,,
,,Tonic,top-up,,,,,,,
,,,,,,,,,,
69,Positive Side,8yo Rum,1 .5,Shake and fine strain,Coupe,-,-,Spring,Medium,Sweet & sour
,,Veda,0.5,,,,,Autumn,,
,,Apricot liqueur,0.33,,,,,Summer,,
,,Lime juice,0.5,,,,,,,
,,Sugar syrup 1:1,0.33,,,,,,,
,,Ginger ,1inch,,,,,,,
,,,,,,,,,,
70,Poderoso,Aged rum,1.50,Shake and fine strain,Double old fashioned,Cubed,Pineapple wedge,Autumn,Medium,Dry Sweet
,,Veda,0.50,,,,,Spring,,
,,Coffee liqueur,0.50,,,,,Summer,,
,,Pineapple juice,0.50,,,,,,,
,,,,,,,,,,
71,Mushroom & Famous,Mezcal,0.75,Shake and fine strain,Coupe,-,Lime wedge,Autumn,Medium,Sweet & Sour
,,Veda,0.75,,,,,Spring,,Smokey
,,Aperol,0.75,,,,,,,
,,Lime juice,0.75,,,,,,,
,,,,,,,,,,
72,Nuclear Mushroom Daiquiri,Overoproof rum,1.00,Blend with crashed ice,Hurricane,-,Dehydrated banana,Summer,Strong,Sweet & Sour
,,Veda,0.67,,,,,Spring,,Tropical
,,Falernum,0.67,,,,,,,
,,Lime juice,0.67,,,,,,,
,,Banana,1/2 fresh,,,,,,,
,,,,,,,,,,
73,Angel's Share No.3,Cognac,1.50,Stir,Coupe,-,-,Winter,Strong,Sweet
,,Veda,0.25,,,,,,,
,,Walnut liqueur,0.75,,,,,,,
,,Tawny port,0.50,,,,,,,
,,,,,,,,,,
74,Poet's Dream,Gin,0.75,Stir,Nick & Nora,-,Lemon zest,Autumn,Strong,Dry Sweet
,,Benedictine,0.25,,,,,Winter,,
,,Veda,0.25,,,,,,,
,,Dry vermouth,0.75,,,,,,,
,,,,,,,,,,
75,Mushroom Martini,Gin,1.66,Stir,Martini,-,Olive,Spring,Strong,Dry 
,,Marsala,0.33,,,,,Autumn,,
,,Veda,0.25,,,,,Winter,,
,,Dry Vermouth,0.16,,,,,Summer,,
,,Bokers bitters,1dash,,,,,,,
,,,,,,,,,,
76,Dante's Shroom,Scotch,1.00,Shake and fine strain,Nick & Nora,-,Orange zest,Winter,Medium,Sweet & Sour
,,Veda,0.16,,,,,Autumn,,
,,Blood orange juice,1.00,,,,,,,
,,Maple syrup,0.25,,,,,,,
,,Xocolatl bitters,1dash,,,,,,,
,,,,,,,,,,
77,My shroomy tie,Aged rum,1.00,Shake and fine strain,Double old-fashioned,Crushed,Orange wedge ,Summer,Strong,Sweet & Sour
,,Pineapple rum,1.00,,,,Mint Peak,Spring,,Nutty
,,Orange curacao,0.50,,,,,Autumn,,
,,Lime juice,0.75,,,,,,,
,,Orgeat,0.25,,,,,,,
,,Veda,0.25,,,,,,,
,,Falernum,0.25,,,,,,,
,,Absinthe,2dash,,,,,,,
,,,,,,,,,,
